web-scraper-order,web-scraper-start-url,Title,Abstract
1641448176-179,https://www.lastwatchdog.com/page/175,Apple criticized for minimizing iTunes hijacking,"Apple is coming under fire for sticking with a consumer online transactions system that is easily hijacked.At issue is iTunes, the payment hub for Apple’s online sales of music, video and apps for iPods, iPhones and iPads. Turns out that hijacking an iTunes account is very straight forward. For at least the past year, iTunes hijackers have been buying stolen usernames and passwords from phishers and data thieves.They then log on, test a few $1 purchases, and, if they clear, move on to larger transactions.Ã‚Â  They most often purchase iTunes gift card codes, usually in $50 to $200 amounts, says Kurt Baumgartner, Senior Security Researcher, Kaspersky Lab.They then sell the iTunes gift cards codes Ã¢â‚¬â€ which can be used like cash to buy music and videos directly from Apple Ã¢â‚¬â€ at a steep discount. Discounted iTunes gift cards are openly sold onlinie.Updated gift card scamTheseÃ‚Â  iTunes gift card scams mirror the analogue gift-card scam made infamous by Miamians Albert Gonzalez and Irving Escobar, bit players in the TJX/Wal-Mart capers. Gonzalez, you may recall, was a key operative in the ring that hacked retail giant TJX and stole 94 million credit card transaction records. (Initially reported as only 45.7 million.) The stolen credit card numbers were transferred to the magnetic strips on the backs of batches of counterfeit Visa cards. The faked credit cards were then distributed to street toughs, like Escobar, who used them to buy $400 Wal-Mart gift cards, en masse.iTunes hijackers can bypass several of those steps, thanks to the way Apple has integrated gift cards into iTunes. They simply log on, buy gift-card “codes” using the default payment mechanism, then put the freshly purchased gift-card codes up for sale online.They’ve also begun experimenting with using hijacked accounts to purchase large quantities of $5 apps sold by co-conspirators who set up and run “app farms.” Keep in mind these app … more"
1641448641-1031,https://www.lastwatchdog.com/page/53,GUEST ESSAY: How data science and cybersecurity will secure ‘digital transformation’,"By Roger HuangIn today’s environment of rapid-fire technical innovation, data science and cybersecurity not only share much in common, it can be argued that they have an important symbiotic relationship.A fundamental understanding of the distinctions – and similarities – of these two fields is good to have. Both must flourish separately and together to fuel “digital transformation” in a way that makes our connected world as  secure as it needs to be.Related article: Machine-learning does heavy-liftingData science focuses more on data structures, algorithms and computability. Cybersecurity emphasizes knowledge of systems administration, architecture, operating systems and web applications. However, both data science and cybersecurity rely on proficiency across a shared base of technical knowledge.Both disciplines also call on someone to properly assess the information before them, put it into the appropriate context and make proper decisions based upon it. Despite some differences between the two fields, there are many commonalities to explore.Data science involves the gathering of data from multiple sources and sifting through it to analyze critical information and what it means for the future. This helps gain insights into how an entity (i.e., program, business, industry, trend and so on) is performing and how it can improve. The data also helps in forecasting how the entity will continue performing into the future or perhaps how it would do when faced with an obstacle (such as competition, a recession or other market or economic factors). The more data we have, the better insights we can reach and the better predictions we can make.Two-sides, same coinWith data science becoming so prominent, cybersecurity is needed to protect the underlying data. Universities, huge corporations and governments depend upon the data they have to properly run and grow. Hackers can infiltrate computer systems and manipulate the data on them for nefarious purposes, such as identity theft, fraud, or in the most sophisticated instances, state-sponsored cyber warfare. You can almost … more"
1641448279-407,https://www.lastwatchdog.com/page/142,Why you should never use your debit card at a POS terminal,"Jeff Hall directs the information-security practice at tax and risk consultancy McGladrey. He has more than 30 years of experience assisting companies of all sizes with information-security issues. In an interview with LastWatchdog, Hall confirmed that ATM fraud using counterfeit debit cards and stolen personal identification numbers is occurring more often than the general public realizes. And he outlined what companies and consumers should do about it. LW: To what extent are data thieves in the hunt for payment registers in department stores, supermarkets, professional services offices — anywhere payment checkout terminals are used and not closely guarded?Hall: Criminals are scouting vulnerable venues. We are aware of a number of private instances where payment terminals and point-of-sales registers have been tampered with to obtain credit card and other data. The concern extends to data networks, medical devices, automobiles, TV sets — essentially any electronic device. All electronic devices today run some sort of operating system. As such, they can all be misused if the right person can insert themselves into the process at the right point. LW: Why are they increasingly focusing on debit card mag stripe data, account numbers and PINs? Hall: Debit cards are tied directly to someone’s bank account. As a result, there is typically a high likelihood of tapping into a large amount of cash quickly. Mag stripe data is fairly easy to come by. If you have complete mag stripe data with a PIN, you can completely impersonate the real card.  STORY: Data thieves target debit cards at point of saleLW: What can or should retailers, doctors’ offices and others be doing to mitigate this threat?Hall: Only contract with a reliable terminal supplier. Organizations should ask a supplier of terminals what they do to ensure terminals do not get tampered with. Also, lock down terminals. Terminals that are not locked down are easy to quickly swap out with a doctored unit. And … more"
1641448336-546,https://www.lastwatchdog.com/page/123,Low-level employees pose big insider threat,"Edward Snowden’s emergence as the latest in a line of self-styled hacker heroes — following Jeremy Hammond and Bradley Manning, brings this question to the fore: how could a low-level contract worker access sensitive digital assets at the nation’s top secrecy agency? Here are three views contributed exclusively to CyberTruth:Scott Hazdra, principal security consultant, Neohapsis: Every organization has to strike a balance between granting access and protecting their information assets. Employees, contractors, consultants and vendors all require some level of access to perform their jobs. Information should be classified as to whether it’s public, internal only or classified.There should be rules in place as to who can access the different categories of information. And there should be proper controls around the information itself. In the end, it’s also entirely possible that an organization does everything right, but someone with access and authority makes a decision at odds with that of the organization.  Eric Chiu, founder and president, HyTrust: Insiders by definition are already inside or within your organization and generally have access to corporate and sensitive information. Systems administrators in particular, although low level, typically have the highest access to systems and data, given that they manage those systems.Without implementing adequate role-based access, companies and organizations are giving god-like access to their systems administrators with those privileged accounts.Andy Hubbard, senior security consultant at Neohapsis: Organizations, even today, make the mistake of assuming that internal systems are safe from tampering and access. Insiders are often provisioned with access to shares, applications, and data storage locations without any review. In order to ease administrative burden, users are provided access to system resources based on generalized access requirements, which may overlook or disregard data access controls that should be in place.Users within many environments are indiscrete with where and how they store data that they are working with. This is the case even in highly regulated environments or … more"
1641448312-489,https://www.lastwatchdog.com/page/131,Cyberspies now targeting small businesses too,"Nation-state-supported cyberspies are increasingly targeting small businesses as part of long-term espionage campaigns.That’s a new pattern that emerges in Verizon’s just released 2013 Data Breach Investigations Report (DBIR), which correlates forensics findings from 621 actual databreach investigations in 27 different countries.Verizon’s DBIR has long been considered a rich trove of security intelligence in the cybersecurity community. And it’s getting richer. This year’s version includes contributions from a record 19 different investigatory organizations from around the world. Key findings:  38% of breaches hit larger organizations   37% affected financial organizations  24% occurred at retailers and restaurants  20% involved manufacturing, transportation and utilities.“Verizon’s newest report indicates that most data breaches involve stolen credentials, backdoors and brute force attacks,” says HyTrust president and founder, Eric Chiu. “In addition, it confirms what HyTrust has also found– that the vast majority of breaches aren’t detected until months after compromise.”Nathaniel Couper-Noles, senior security consultant at security firm Neohapsis adds that cybercriminals continue to get better at finding and taking advantages of security weaknesses intrinsic to complex networks.“The breadth of successful attacks in the report shows that technological innovations can benefit attackers as well as defenders,” says Couper-Noles.Andy Green, analyst at Varonis Systems, notes that Verizon’s report emphasizes that 80% of breaches could be easily prevented with two-factor authentication, and it still takes months for most breaches to be discovered.Varonis recently published a privacy survey that found 47% of resondents using multi-factor authentication for their personal e-mail accounts.  “If this trend can carry over to corporate email and intranet access, then we may finally see a dip in these low-skill, but still very effective, password-based hacks,” Green says.Another pattern Verizon’s investigators have been able to parse out, to some degree, is whether profit-motivated crook or state-sponsored spies appear to be behind corporate network intrusions.State-affiliated actors accounted for 21 percent of attacks, while organized crime groups were behind 55 percent. … more"
1641448321-509,https://www.lastwatchdog.com/page/128,"Q&A: RedKit, Blackhole exploit kits expand badness","By Byron V. AcohidoSEATTLE — AppRiver has uncovered yet more evidence that so-called drive-by downloads — infections lurking on legit websites — have become the pre-dominant way cyber criminals are infecting PCs.The Gulf Breeze, Fla.-based messaging security firm found “RedKit” to be one of the most prevalent malicious programs circulating on websites in April.RedKit and a similar tool, the so-called “Blackhole” exploit kit, have emerged as a cybercriminal’s indispensible Swiss Army knife. CyberTruth earlier reported on analysis from firewall vendor, Palo Alto Networks, revealing that the vast majority of malware seeping into company networks arrives via drive-by download.So now, we’ve asked AppRiver senior analyst Fred Touchette to drill down on how exploit kits, like RedKit and Blackhole, are helping cybercriminals circulate nasty infections all over the Internet.LW: What makes exploit kits so worrisome?Touchette: An exploit kit is essentially a software package that makes the exploitation of vulnerable websites simple for cyber criminals. They’re easy to configure, and automated. You just click a button. The user needs very little technical knowledge. And if he requires some help, some toolkit authors even offer a one-year support license included in the price of the kit. LW: What’s distinctive about kits such as Blackhole and RedKit?Touchette: The prevalence of these kits is what sets them apart from other threats. The kits remain effective over and over again. The ease of their use in addition to their effectiveness means we also end up seeing large botnets being created as a result.LW: What are the bad guys who use exploit kits typically after? Tocuhette: The goal of these attacks is to make or steal money. They cast a net and drag in whatever is found. They’ll take all of the identities and bank account information they can get their hands on. It’s important to realize that Web threats are real and the need to stay protected makes good sense.LW: What else … more"
1641448185-199,https://www.lastwatchdog.com/page/172,A call for shared responsibility for preserving individual privacy,"Data theft and malicious spam are spiking. Consumer and privacy advocates are confronting Google and Facebook about invasive business practices. In this LastWatchdog guest post, attorney Christopher Wolf, of the law firm Hogan Lovells, examines the question of who should be responsible for preserving an individual’s privacy. Wolf isÃ‚Â  the Founder and Chair of the Future of Privacy Forum, a think tank committed to improving personal privacy.by Christopher WolfWhose job is it to protect the privacy of personal information?  That is the burning question in Washington these days.Privacy is receiving so much attention right now not just because of headlines about Facebook and Google and their privacy missteps, but because we live in a time when people are sharing volumes of  information about themselves and others on social networks, and when technology that can collect, share, analyze and store information about people is advancing at a staggering pace.Think geo-tracking, behavioral-targeted advertising, and sensors collecting data about us connected to the Internet.So who should be protecting our privacy?  Some say that the government should finally pass a comprehensive privacy law that strictly regulates the collection and use of data.Others say that companies using personal data have a responsibility to protect privacy, but should not be shackled by one-size-fits-all laws and regulations, lest economic progress on the Internet Ã¢â‚¬â€œ one of the few bright spots in the economy Ã¢â‚¬â€œ be stifled.And then there are those who say people should be smart enough to protect themselves by being careful about what information they share online.So who is right? They all are right.Governments at the federal and state level have a critical role in protecting personal privacy.  We have laws on the books right now with detailed rules to protect the privacy of financial, health and kidsÃ¢â‚¬â„¢ information.  The Federal Trade Commission is the Ã¢â‚¬Å“cop on the beatÃ¢â‚¬Â when it comes to ensuring that … more"
1641448378-632,https://www.lastwatchdog.com/page/110,Trend Micro’s Sci-Fi thriller depicts cybercrime circa 2020,"SEATTLE – The $8 billion-a-year antivirus software industry is going Hollywood.Trend Micro has just released a Netflix-like, straight-to-video science-fiction series — titled 2020 — that darkly extrapolates how cybercrime may escalate a mere seven years hence.Why go through the trouble? Protecting your computing devices from malicious software is a mature, highly-lucrative and, still, steadily growing industry.Companies this year will spend $3.2 billion on antivirus protection, and consumers will shell out $5.1 billion. That’s projected to rise to $3.6 billion and $6.1 billion, respectively, by 2017, says Gartner analyst Lawrence Pingree.But antivirus subscriptions have become a commodity. There are more than 20 comparable services you can choose from. The top consumer brands are Symantec’s Norton suite, McAfee, Trend Micro, Kaspersky and ESET. The average person would be hard pressed to distinguish the differences.“Because it’s a commoditized market you really have to be creative on the marketing end to get noticed,” Pingree says.No kidding. With a nod to George Orwell, the idea for 2020 sparked when Rik Ferguson, Trend’s security research vice president, began crafting a white paper for a cybersecurity conference. He wanted to examine cybercrime likely to extend from the Internet badness we live with today.(Clarification: The white paper Project 2020: Scenarios for the Future of Cybercrime was put out by ICSPA, authored by Europol with input from Trend Micro.)“There were so many details in the white paper that the only way to really do it justice was to turn it into a video series,” Ferguson says.Trend Micro retained French production company Black Rabbit, wrote a script, hired actors from six nationalities and filmed the entire series in Warsaw.“The idea was to expand the cyber-security conversation beyond its usual confines,” Ferguson says. “We wanted to get people thinking about the potential risks of new technologies.”2020’s  plot is set in South Sylvania on the eve of an all-digital election. The … more"
1641448886-1351,https://www.lastwatchdog.com/page/8,SHARED INTEL: Microsoft discloses how the Nobelium hacking ring engages in routine phishing,"By Byron V. AcohidoMicrosoft has blunted the ongoing activities of the Nobelium hacking collective, giving us yet another glimpse of the unceasing barrage of hack attempts business networks must withstand on a daily basis.Related: Reaction to Biden ‘s cybersecurity executive orderNobelium is the Russian hacking collective best known for pulling off the milestone SolarWinds supply chain hack last December. That caper required the intricate counterfeiting of software updates sent out automatically by SolarWinds to 18,000 customers. And yet, for all of its sophistication, Nobelium also engages in routine phishing campaigns to get a foothold in targeted organizations. This of course is how they get a toehold to go deeper.In this case, the attackers leveraged information gleaned from a Microsoft worker’s computing device. In a blog posting, Microsoft disclosed that it “detected information-stealing malware on a machine belonging to one of our customer support agents with access to basic account information for a small number of our customers” and that “the actor used this information in some cases to launch highly targeted attacks as part of their broader campaign.”Microsoft said it notified the targeted 150 organizations, which included “IT companies (57%), followed by government (20%), and smaller percentages for non-governmental organizations and think tanks, as well as financial services.”"
1641448901-1358,https://www.lastwatchdog.com/page/7,SHARED INTEL: Ramifications of 86 cities storing citizens’ data in misconfigured AWS S3 buckets,"By Byron V. AcohidoThe ethical hackers at WizCase recently disclosed another stunning example of sensitive consumer data left out in the open in the public cloud —  for one and all to access.Related: How stolen data gets leveraged in full-stack attacksThis latest high-profile example of security sloppiness was uncovered by a team of white hat hackers led by Ata Hakçil. They found personal documents, collected by over 80 US municipalities, sitting in Amazon Web Services S3 storage buckets left wide open in the public cloud.This included citizens’ physical addresses, phone numbers, drivers’ licenses, tax documents, and more.  There was no need for a password or login credentials to access this information, and the data was not encrypted.The WizCase team traced this exposure  back to a cloud-delivered information management tool — mapsonline.net, supplied by Woburn, Mass.-based PeopleGIS.  WizCase reached out to PeopleGIS and the S3 buckets in question have since been secured.Some 114 Amazon S3 storage buckets used a common naming pattern associated with  PeopleGIS; of those 28 appeared to be properly configured, and were not accessible without proper credentials; but 86 were accessible without any password nor encryption. The WizCase team outlined three ways this could have happened:•PeopleGIS created and handed over the buckets to their city customers, and some of them made sure these were properly configured"
1641448200-234,https://www.lastwatchdog.com/page/167,Disinformation campaign against Do Not Track commences,"Confusion about Do Not Track is already starting to circulate, as predicted by consumer advocates.As pointedÃ‚Â  out today in this story, the mechanism the Federal Trade Commission has endorsed to give you a means to instruct online advertisers not to track your online behavior is very simple and powerful.But it may require a new federal law to compel the participants in the $12 billion dollar online ad industry to heed any such requests.“Industry will be cranking up their disinformation campaigns to get Congress to put a lid on the FTC’s efforts,” predicts Ed Mierzwinski, consumer program director at USPIRG, a non-profit consumer advocacy group.CNN on Thursday came out with this story calling Do Not Track a potential Google killer, since targeted ads are a “critical aspect” of Google’s business. However, the link to that story today shows rewritten text and a clarification noting that ads using sophisticated tracking mechanism to identify and profile Google users is a “closely watched growth area, but it is not a large part of Google’s current revenue stream.”Testifying at a Congressional hearing on Thursday, Joseph Pasqua, vice president of research at antivirus giant Symantec warned that using a Do Not Track mechanism could result in users being “fed websites with limited content, while other users without the option set would see a richer Web page and have a more robust browsing experience.”Pasqua’s point needs to be much more closely examined. For instance, if Google gets cut off from tracking many users, would that then open the door for major media companies, like USA TODAY, the New York Times and others,Ã‚Â  to attract more untracked readers  based on quality content, and then turn around andÃ‚Â  sell that untracked, high-demographic audience to advertisers?In any case, if Congress mandates Do Not Track, as proposed by the FTC in this report, one could ultimately test Pasqua’s assertion simply by using the Do … more"
1641448936-1409,https://www.lastwatchdog.com/page/1,MY TAKE: Why monetizing data lakes will require applying ‘attribute-based’ access rules to encryption,Byron Acohido · A primer on attribute-based encryption
1641448719-1126,https://www.lastwatchdog.com/page/40,"NEW TECH: This free tool can help gauge, manage third-party cyber risk; it’s called ‘VRMMM’","By Byron V. AcohidoLate last year, Atrium Health disclosed it lost sensitive data for some 2.65 million patients when hackers gained unauthorized access to databases operated by a third-party billing vendor.Turn the corner into 2019 and we find Citigroup, CapitalOne, Wells Fargo and HSBC Life Insurance among a host of firms hitting the crisis button after  their customers’ records turned up on a database of some 24 million financial and banking documents found parked on an Internet-accessible server — without so much as password protection. The culprit: lax practices of a third-party data and analytics contractor.Related: Atrium Health breach highlights third-party risksOne might assume top-tier financial services firms and healthcare vendors would have solved third-party cyber exposures by now. But the truth of the matter is, companies of all sizes and in all sectors remain acutely vulnerable to attack vectors laid open by third-party contractors. And this continues to include enterprises that have poured a king’s ransom into hardening their first-party security posture.What’s happening is that supply chains are becoming more intricate and far-flung the deeper we move into digital transformation and the Internet of Things. And opportunistic threat actors are proving adept as ever at sniffing out the weak-link third parties in any digital ecosystem.Mike Jordan, senior director of the Shared Assessments Program, a Santa Fe, NM-based  intel-sharing and training consortium focused on third-party risks, points out that at least one of the banks that had data exposed in this latest huge data leak wasn’t even a customer of the allegedly culpable contractor.“Hacked subcontractors or downstream service providers can harm companies that have no business relationship with each other,” Jordan told Last Watchdog. “Individuals can even be affected by parties with whom they have no explicit relationships, such as credit bureaus and data brokers.”"
1641448167-158,https://www.lastwatchdog.com/page/178,Advocacy group calls for Congressional hearings on Google spying,"The Washington Post’s Top Secret America investigation aboutÃ‚Â  the vast scale and scope of U.S. government top-secret work, published this week, has shed light on some troubling government alliances with giant corporations to potentially spy on individual citizens.The Post identified 1,931 companies engaged in top-secret work for the government, including search giant Google. Citing revelations from the Post’s report, the advocacy group  Consumer Watchdog is petitioning Congress to examine whether Google’s Wi-Fi spying may be tied to Google’s government contracts.The group sent a letter to Energy and Commerce Committee Chairman Henry Waxman and Ranking Member Joe Barton calling for Congressional hearings. Consumer Watchdog director John M. Simpson wrote:Based on todayÃ¢â‚¬â„¢s Washington Post, it appears that Google holds classified U.S. government contracts to supply search and geospatial information to the U.S. government. In addition, White House records show that Google executives have been holding meetings with U.S. national security officials for undisclosed reasons. Finally, it also appears that GoogleÃ¢â‚¬â„¢s widely criticized efforts to collect wireless network data on American citizens were not inadvertent, contrary to the companyÃ¢â‚¬â„¢s claims.As history has repeatedly shown, alliances between the U.S. intelligence community and giant corporations that collect data on American citizens can be a toxic combination where the U.S. Constitution is concerned.Google has not yet commented. The search giant has already been corresponding with the Energy and Commerce Committee, which is looking into the unfolding global backlash over Germany’s discovery that Google has been collecting personal data from unsecured Wi-Fi networks in more than 30 nations. In a June 9 letter to the committee, Google’s director for public policy Pablo Chavez states that that Google Ã¢â‚¬Å“mistakenly included code in our software that collected samples of Ã¢â‚¬Ëœpayload dataÃ¢â‚¬â„¢ Ã¢â‚¬Â from private Wi-Fi networks.But Simpson, former deputy news editor at USA TODAY,Ã‚Â  now says a review of a patent application from Google covering the gathering of WiFi data shows that the … more"
1641448200-237,https://www.lastwatchdog.com/page/167,Antitrust litigator Gary Reback asks President Obama to order Google probe,"Feisty antitrust litigator Gary Reback today called for President Obama to order Christine Varney, the head of the Department of Justice’s Antitrust Division, to launch a formal investigation of Google’s business practices, as Europe has just done.“It is so troubling that we have to go to Europe to ask them to protect American consumers from manipulated search results, it’s so disconcerting,” said Reback, speaking at the Future of Online Consumer Protections conference in Washington DC.Reback pointed out laudatory remarks President Obama made about Google at a Google-sponsored fund raising event during the 2008 presidential race. He suggested that President Obama could swiftly put to rest any hint of favoring Google. “All you need to do is pick up the telephone, call Christine Varney, and order her to do an investigation like the EU is doing.”Taking the same head-on approach he did in spearheading federal antitrust sanctions imposed on Microsoft a decade ago, Reback backed up his rhetoric with substantive research. He disclosed a study of some 40,000 shopping related search queries. The study, he said, establishes a pattern of Google regularly promoting results from its own services over content from smaller, specialized search engines, such as Yelp and Foundem, that deliver comparative shopping results.“Among just the comparative shopping search engines, Google puts itself in first place 98% of the time,” said Reback.Reback cited an instance of Goolge ranking its own results for a query about a $2000 camera no. 1, while results for the same camera, priced lower, derived from rival search engines were ranked very low.“As the dominant company is Google search fair to competitors? I think the answer to that is, ‘no,” said Reback. “The second question is, ‘Are these results in the best interest of consumers, when (Google) preferences their own stuff? Are consumers getting the best information? Are they getting the lower price? They’re not getting the lower price in … more"
1641448354-579,https://www.lastwatchdog.com/page/118,More on free tools to help you dodge PRISM,"(Editor’s note: Ethan Oberman, co-founder and CEO of cloud backup service SpiderOak, considers himself a privacy fanatic. )By Ethan ObermanMany of us find ourselves asking — how could we let something like PRISM happen?We have next to no control over our online privacy. Both the government and the private sector have been habitually disregarding privacy in order to pursue their own interests.VIDEO: Powerful online tools can restrict online tracking.One of the reasons is that online infrastructure is not built to protect us. Companies such as Google, Facebook, Dropbox and Skype (Microsoft) are designed with servers that store data in plain text.Anytime plain text data lives on a third-party system, it can be decrypted and examined by third parties such as company employees, the government and lawyers with subpoenas. This is how so many tech companies were able to give up data to the NSA upon request.We may live in a surveillance state, but we’re not powerless to protect ourselves against it. Through the grassroots adoption of privacy-first technologies — those that are designed from the ground up to provide privacy — consumers and enterprises can bypass the data collection problem.There are a few simple places to start. Tor, originally built to protect the privacy of the US Navy, is a free download that lets you surf the Web anonymously. Firefox, already a popular browser, does the same thing, and for techies, GNUzilla is a GNU version of Firefox.DuckDuckGo, the Seeks Project, Startpage and YaCy are all private alternatives to search engines like Google. Look to BitMessage and RiseUp for private webmail, or Pretty Good Privacy (PGP) software like Mailvelope or WebPG that lets you encrypt your existing email. There are more choices for desktop email; Mozilla Thunderbird and Evolution are examples.Crypto.cat, OTR (Off-The-Record) and Pidgin are confidential chat providers. Keep an eye out for private options in the realms … more"
1641448804-1253,https://www.lastwatchdog.com/page/22,SHARED INTEL: Former NSA director says cybersecurity solutions need to reflect societal values,"By Byron V. AcohidoIs America’s working definition of “national security” too narrow for the digital age?Yes, observes retired Admiral Michael Rogers, who served as a top White House cybersecurity advisor under both Presidents Obama and Trump. Related: The golden age of cyber espionageThe United States, at present, operates with a “nebulous” definition of what constitutes a cyber attack that rises to the level of threatening national security, asserts Rogers, who was   commander, U.S. Cyber Command, as well as director, National Security Agency, and chief, Central Security Service, from March 2014 until he retired from military service in May 2018.“National security in the digital age, to me, is the confluence of the traditional ways we used to look at security issues as a nation-state, as well as taking into consideration how economic-competitiveness and long-term economic viability play in,” Rogers told an audience of cybersecurity executives, invited to attend the grand opening of Infosys’ state-of-the art Cyber Defense Center in Indianapolis earlier this week.Rogers made his remarks as part of a panel discussion on securing digital transformation moderated by Infosys CISO Vishal Salvi. It was a wide-ranging, eye-opening discussion. Here are a few key takeaways I came away with:Rising cyber exposuresEnterprises today are engaged in a struggle to balance security and agility. Leveraging cloud services and IoT systems to streamline workloads makes a ton of sense. Yet cyber exposures are multiplying. Compliance penalties, lawsuits, loss of intellectual property, theft of customer personal data and loss of reputation — due to poor cyber defenses — are now getting board level attention."
1641448134-81,https://www.lastwatchdog.com/page/189,uTest discovers cross-site scripting vulnerability on major retailer’s site,"U-Test has just completed a substantive, independent review of three major e-tailing sites — and found a gaping security hole in one of them.U-Test retains a stable of 21,000 professional testers from 159 countries available to run any website through the paces. As part of its marketing efforts, U-Test has been running a once-a-quarter contest by which its testers can earn cash testing certain groupings of online services.In this case, uTest paid 600 software professionals from 20 countries to click away at Amazon, Walmart.com and Target.com, then rank the e-tailers based on best pricing, ease of use, product search capacity, reviews and ratings and product comparison tools.The consensus: Amazon is more bug-free and user-friendly than rivals Walmart.com and Target.com. But uTesters also discovered a cross-site scripting vulnerability at one of the three major sites. Johnston declined to name the e-retailer, noting that uTest has notified the retailer about the security hole.“Only one of the sites had a security issue, but it’s our practice to reach out to the site owner and not disclose who it is,” he says.Johnston said the vulnerability was of the type that would “allow (user) accounts to be taken over” and give an intruder full access to “all of the sensitive information in the account.”Cross-site scripting vulnerabilities show up when Web apps fail to validate user input from form fields. Attackers can embed their own script into a page the user is visiting to purposefully manipulate the behavior or appearance of the page. Malicious attacksÃ‚Â  are limited only by the attacker’s imagination, as LastWatchdog described in this 31Mar2008 USA Today story.Most often attackers will  create a specially-crafted Web link, and then entice a visitor into clicking to it, via spam, Facebook messages, Tweets, etc. — another reason why bad URLs are proliferating. The user is more likely to be tricked to clicking on the link, since it’s from a … more"
1641448435-757,https://www.lastwatchdog.com/page/92,Q&A: What Home Depot customers can expect following massive data breach,"By Byron V. AcohidoIf you’re one of the millions of folks who used a payment card at a Home Depot store this past spring or summer your identity may be at risk. ThirdCertainty asked Chris Camejo, director of assessment services at NTT Com Security, to outline the go-forward ramifications of the Home Depot breach. 3C: What should anyone who shopped at Home Depot in the past few months expect next? Camejo: Home Depot’s customers should be checking their credit and debit card statements carefully to make sure there are no fraudulent purchases or withdrawals, and they shouldn’t be surprised if their card gets shut off and/or replaced with little or no notice. I’m sure Home Depot and the banks are frantically trying to identify those accounts so that they can cancel the stolen cards before they lose any more money to fraud.3C: What are the data thieves up to?The thieves are selling the stolen cards on black market websites right now. At this point it’s basically a race to see how many fraudulent transactions the carders can run through before the banks figure out which cards were affected and replace them. I’m sure Home Depot and the banks are frantically trying to identify those accounts so that they can cancel the stolen cards before they lose any more money to fraud.3C: How useful are the free consulting services merchants offer to customers when a big breach gets disclosed.Camejo: Home Depot is offering the usual ‘free identity theft monitoring’ which is pointless in a way. Identity theft monitoring is to check if someone is opening new lines of credit in your name which would require a SSN. There’s no need to do that when the attacker has stolen the line of credit you’ve already opened.3C: Home Depot must now meet data loss disclosure laws in 47 states. How onerous is that going to be?Camejo: Most of … more"
1641448230-296,https://www.lastwatchdog.com/page/158,"Androids, iPads, iPhones are creating panoply of corporate risks","By Byron Acohido, USA TODAY, 31May2011, P1BCompanies are grappling with unforeseen security, privacy and legal conundrums introduced by a host of cool mobile devices flooding into the workplace.Executives eager to sport the hottest tech gear and workers accustomed to mixing social and work activities on the go are multitasking on personally owned mobile devices in record numbers.Workers are bringing mobile devices to work at such a scale that company security technicians can’t keep up. “It’s an impossible task,” says Patrick Sweeney, product management vice president at network security firm SonicWall. “Control of these devices has become very complex because of the varying software and device types.”Results of a recent survey of 1,400 technology professionals in 14 nations show 21% of companies have no restrictions on use of personal mobile devices, while 58% have lightweight policies, and only 20% have stringent guidelines. The poll was conducted by security firm McAfee, a division of Intel.“A lot of organizations have yet to really lock down mobile access,” says Jamie Barnett, McAfee’s senior director of mobility products. “That tells me there is definitely an opportunity for security and compliance gaps.”An obvious risk: employee-owned smartphones, tablets and e-readers containing work-related materials that turn up missing. Some 40% of organizations responding to McAfee’s survey reported mobile devices lost or stolen, often involving the loss of critical business data.What’s more, the cyberunderground is adapting hacks and scams â€” proven to work profitably on desktops and laptops â€” to Internet-connected mobile devices, says Anup Gosh, founder of Web browser security firm Invincea.Worldwide smartphone sales are on track to top 467 million units this year, tablet PC sales should approach 70 million, and e-readers, 14.7 million, according to research firm Gartner. Two years ago, smartphone sales rang in at 172 million units, tablets, zero and e-readers, 3 million.“As mobile devices become a replacement for the desktop computers, the problem of … more"
1641448107-16,https://www.lastwatchdog.com/page/198,Scareware infestation hits Google search results & YouTube comments,
1641448670-1061,https://www.lastwatchdog.com/page/49,MY TAKE: How the lack of API security translates into ‘digital transformation’ security holes,
1641448909-1370,https://www.lastwatchdog.com/page/5,SHARED INTEL: Reviving ‘observability’ as a means to deeply monitor complex modern networks,"Byron Acohido · How 'observability' helps secure, optimize hybrid cloud networks"
1641448730-1143,https://www.lastwatchdog.com/page/37,GUEST ESSAY: Why there’s no such thing as anonymity it this digital age,"By Goddy RayUnless you decide to go Henry David Thoreau and shun civilization altogether, you can’t — and won’t — stop generating data, which sooner or later can be traced back to you.Related: The Facebook factorA few weeks back I interviewed a white hat hacker. After the interview, I told him that his examples gave me paranoia. He laughed and responded, “There’s no such thing as anonymous data; it all depends on how determined the other party is.”App developers, credit card, telecommunication companies, and others use the term “anonymous data” because it sells. But anonymous data really doesn’t exist anymoreEvery step online is recorded and stored – our interactions with devices, geolocation, voter registration, time stamps, etc. Machine learning (ML) is currently the leading technique to re-identify any data. Specifically-designed algorithms make pattern-recognition much faster and more efficient. Sometimes the accuracy of identifying is 90% and more.De-anonymizationActually, 63% of the population can be identified just by the combination of their gender, date of birth, and zip code.“Anonymous” or “aggregated” large datasets are often released publicly. As a result, the development of de-anonymization tools is becoming increasingly more advanced. Here are a  few unexpected examples of supposedly anonymous data reversal:"
